female,married,spouse_rated,age,X_factor_bi,X_factor_pd,X_factor_comp,X_factor_coll,X_factor_loan,X_factor_med,X_factor_pip,X_factor_umbi,X_factor_umpd,X_factor_rent,X_factor_roadside,duplicate
0,1,0,1,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,1,1,1,4.75,4.99,1.9,4.63,1.9,3.07,2.69,2.05,4.63,4.63,4.63,0
0,1,0,15,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,1,1,15,4.75,4.99,1.9,4.63,1.9,3.07,2.69,2.05,4.63,4.63,4.63,0
0,1,0,16,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,1,1,16,4.75,4.99,1.9,4.63,1.9,3.07,2.69,2.05,4.63,4.63,4.63,0
0,1,0,17,5.11,4.78,1.3,3.58,1.3,2.55,1.81,1.97,3.58,3.58,3.58,0
0,1,1,17,4.75,4.99,1.9,4.63,1.9,3.07,2.69,2.05,4.63,4.63,4.63,0
0,1,0,18,4.43,4.1,1.3,3.41,1.3,2.39,1.64,1.76,3.41,3.41,3.41,0
0,1,1,18,3.88,3.89,1.69,3.67,1.69,2.49,2.31,1.9,3.67,3.67,3.67,0
0,1,0,19,3.84,3.52,1.3,3.25,1.3,2.24,1.49,1.57,3.25,3.25,3.25,0
0,1,1,19,3.17,3.02,1.51,2.91,1.51,2,1.99,1.77,2.91,2.91,2.91,0
0,1,0,20,3.11,2.93,1.3,2.9,1.3,1.76,1.44,1.25,2.9,2.9,2.9,0
0,1,1,20,2.44,2.18,1.47,2.29,1.47,1.71,1.69,1.77,2.29,2.29,2.29,0
0,1,0,21,2.52,2.42,1.3,2.68,1.3,1.41,1.37,1.21,2.68,2.68,2.68,0
0,1,1,21,2.07,1.84,1.4,1.97,1.4,1.41,1.56,1.17,1.97,1.97,1.97,0
0,1,0,22,2.1,2.07,1.28,2.26,1.28,1.33,1.23,1.17,2.26,2.26,2.26,0
0,1,1,22,1.74,1.77,1.33,1.83,1.33,1.28,1.17,1.05,1.83,1.83,1.83,0
0,1,0,23,1.91,1.83,1.26,2.03,1.26,1.26,1.09,0.84,2.03,2.03,2.03,0
0,1,1,23,1.56,1.42,1.26,1.4,1.26,1.15,1.15,1,1.4,1.4,1.4,0
0,1,0,24,1.64,1.57,1.17,1.76,1.17,1.09,1.03,0.79,1.76,1.76,1.76,0
0,1,1,24,1.27,1.38,1.15,1.31,1.15,1.09,1.1,1,1.31,1.31,1.31,0
0,1,0,25,1.36,1.32,1.14,1.43,1.14,0.89,0.87,0.8,1.43,1.43,1.43,0
0,1,1,25,1.05,1.1,1.03,1.07,1.03,1.01,0.87,0.9,1.07,1.07,1.07,0
0,1,0,30,1.2,1.13,1.14,1.23,1.14,0.95,0.87,0.83,1.23,1.23,1.23,0
0,1,1,30,1,1,1,1,1,1,1,1,1,1,1,0
0,1,0,35,1.18,1.05,1.06,1.18,1.06,0.96,0.95,1.1,1.18,1.18,1.18,0
0,1,1,35,0.93,0.92,0.93,0.92,0.93,0.93,1.03,1.08,0.92,0.92,0.92,0
0,1,0,40,1.16,1.03,1,1.05,1,1.06,0.98,1.12,1.05,1.05,1.05,0
0,1,1,40,1.03,0.95,0.9,0.89,0.9,1.05,1.12,1.38,0.89,0.89,0.89,0
0,1,0,50,1.12,1,0.87,0.95,0.87,0.99,0.94,1.11,0.95,0.95,0.95,0
0,1,1,50,0.94,0.9,0.82,0.85,0.82,1.05,1.05,1.28,0.85,0.85,0.85,0
0,1,0,55,1.06,0.97,0.83,0.93,0.83,0.82,0.9,1,0.93,0.93,0.93,0
0,1,1,55,0.94,0.9,0.75,0.83,0.75,1.04,0.98,1.25,0.83,0.83,0.83,0
0,1,0,60,1.08,1,0.82,0.94,0.82,0.81,0.93,1,0.94,0.94,0.94,0
0,1,1,60,0.95,0.91,0.74,0.84,0.74,1.06,0.99,1.24,0.84,0.84,0.84,0
0,1,0,61,1.11,1.02,0.8,0.95,0.8,0.8,0.96,1,0.95,0.95,0.95,0
0,1,1,61,0.96,0.91,0.72,0.85,0.72,1.07,0.99,1.24,0.85,0.85,0.85,0
0,1,0,62,1.14,1.05,0.78,0.96,0.78,0.79,0.99,1,0.96,0.96,0.96,0
0,1,1,62,0.96,0.92,0.71,0.86,0.71,1.09,1,1.24,0.86,0.86,0.86,0
0,1,0,63,1.16,1.07,0.76,0.97,0.76,0.78,1.02,1,0.97,0.97,0.97,0
0,1,1,63,0.97,0.92,0.7,0.87,0.7,1.11,1,1.23,0.87,0.87,0.87,0
0,1,0,64,1.19,1.09,0.76,0.97,0.76,0.77,1.05,1,0.97,0.97,0.97,0
0,1,1,64,0.98,0.93,0.69,0.88,0.69,1.13,1.01,1.23,0.88,0.88,0.88,0
0,1,0,65,1.17,1.13,0.76,1,0.76,0.81,1.04,1.02,1,1,1,0
0,1,1,65,1.03,0.96,0.68,0.89,0.68,1.11,0.97,1.23,0.89,0.89,0.89,0
0,1,0,66,1.21,1.16,0.76,1.02,0.76,0.84,1.03,1.03,1.02,1.02,1.02,0
0,1,1,66,1.07,0.98,0.68,0.9,0.68,1.1,0.94,1.23,0.9,0.9,0.9,0
0,1,0,67,1.25,1.2,0.75,1.05,0.75,0.88,1.01,1.05,1.05,1.05,1.05,0
0,1,1,67,1.1,1.01,0.68,0.9,0.68,1.08,0.9,1.24,0.9,0.9,0.9,0
0,1,0,68,1.29,1.23,0.75,1.08,0.75,0.93,1,1.06,1.08,1.08,1.08,0
