URBAN-IND,BI,PD,COMP,COLL,LOAN,MED,PIP,UIMBI,UIMPD,RENT,ROADSIDE,COMP_TRAILER,COLL_TRAILER,ACPE,OPEX
C,115.95,145.46,91.36,240.63,12.54,15.87,45.39,34.34,31.44,14.64,3.42,2.23,154.74,125.24,20.85
D,114.41,164.38,90.64,263.18,15.47,21.89,54.88,30.35,34.3,14.17,3.37,2.38,154.34,138.24,20.85
H,146.92,191.2,105.06,318.93,16.65,20.65,64.8,31.88,40.34,15.52,3.37,2.47,148.34,150.22,20.85
O,114.86,172.81,100,292.9,14.91,25.63,54.21,26.27,39.52,13.13,3.53,2.47,154.34,138.24,20.85
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
